k,outer_1_x,outer_1_y
0,0,0
1,0.25,0
2,0.489894,-8.68869e-09
3,0.719714,-2.7165e-08
4,0.939489,-5.29781e-08
5,1.14924,-8.21381e-08
6,1.34918,-1.10783e-07
7,1.54072,-1.36198e-07
8,1.72511,-1.56694e-07
9,1.90338,-1.71421e-07
10,2.07642,-1.80133e-07
11,2.24501,-1.82998e-07
12,2.40979,-1.80442e-07
13,2.57132,-1.73041e-07
14,2.73008,-1.61444e-07
15,2.88646,-1.46319e-07
16,3.04082,-1.28323e-07
17,3.19346,-1.08075e-07
18,3.34461,-8.61448e-08
19,3.49451,-6.30452e-08
20,3.64334,-3.92288e-08
21,3.79124,-1.50887e-08
22,3.93837,9.03866e-09
23,4.08482,3.2868e-08
24,4.23071,5.61582e-08
25,4.37611,7.87037e-08
26,4.5211,1.00326e-07
27,4.66573,1.20862e-07
28,4.81007,1.40158e-07
29,4.95415,1.58056e-07
30,5.09801,1.74388e-07
31,5.24169,1.88966e-07
32,5.38522,2.01584e-07
33,5.52862,2.12003e-07
34,5.67192,2.19962e-07
35,5.81512,2.25173e-07
36,5.95826,2.2733e-07
37,6.10134,2.26115e-07
38,6.24439,2.21214e-07
39,6.3874,2.12324e-07
40,6.5304,1.99179e-07
41,6.67339,1.81566e-07
42,6.81639,1.59343e-07
43,6.95941,1.32469e-07
44,7.10246,1.01021e-07
45,7.24556,6.52165e-08
46,7.38872,2.54346e-08
47,7.53195,-1.77679e-08
48,7.67527,-6.36453e-08
49,7.81871,-1.11256e-07
50,7.96228,-1.59466e-07
51,8.10601,-2.06956e-07
52,8.24994,-2.52241e-07
53,8.39409,-2.93703e-07
54,8.53851,-3.29627e-07
55,8.68324,-3.58258e-07
56,8.82834,-3.77863e-07
57,8.97388,-3.86809e-07
58,9.11992,-3.83644e-07
59,9.26657,-3.67198e-07
60,9.41391,-3.36688e-07
61,9.56207,-2.91821e-07
62,9.7112,-2.32912e-07
63,9.86145,-1.60997e-07
64,10.013,-7.79347e-08
65,10.1661,1.34914e-08
66,10.3211,1.09502e-07
67,10.4781,2.05285e-07
68,10.6376,2.95013e-07
69,10.8001,3.71959e-07
70,10.9659,4.28765e-07
71,11.1358,4.57936e-07
72,11.3103,4.52702e-07
73,11.4902,4.08385e-07
74,11.6766,3.24461e-07
75,11.8705,2.0739e-07
76,12.0732,7.39101e-08
77,12.2859,-4.64691e-08
78,12.5086,-1.14275e-07
79,12.7414,-1.00169e-07
80,12.9842,-2.30551e-08
