k,x0,x1,x2,x3,u0,u1
0,-4.92,0.12,0.1,3.28,0.2,0.28
1,-4.59364,0.152745,0.133685,3.3,0.2,0.28
2,-4.26658,0.19673,0.167575,3.32,0.2,0.28
3,-3.93923,0.252105,0.201671,3.34,0.2,0.28
4,-3.612,0.319008,0.235972,3.36,0.2,0.28
5,-3.28531,0.39756,0.270479,3.38,0.2,0.28
6,-2.9596,0.487872,0.305191,3.4,0.2,0.28
7,-2.63531,0.590033,0.340108,3.42,0.2,0.28
8,-2.3129,0.70412,0.375231,3.44,0,0.28
9,-1.99284,0.830192,0.410559,3.44,0,0.28
10,-1.67743,0.96749,0.445887,3.44,0,0.28
11,-1.36706,1.11584,0.481215,3.44,0,0.28
12,-1.06213,1.27507,0.516543,3.44,0,0.28
13,-0.763007,1.44496,0.551871,3.44,0,0.28
14,-0.470076,1.62531,0.587199,3.44,0,0.28
15,-0.183697,1.8159,0.622527,3.44,0,-0.24
16,0.0957707,2.01648,0.592462,3.44,0,-0.24
17,0.381142,2.20857,0.562397,3.44,0,-0.24
18,0.672159,2.392,0.532332,3.44,0,-0.24
19,0.968558,2.56659,0.502267,3.44,0,-0.24
20,1.27007,2.7322,0.472201,3.44,0,-0.24
21,1.57643,2.88867,0.442136,3.44,0,-0.24
22,1.88735,3.03586,0.412071,3.44,0,-0.24
23,2.20255,3.17363,0.382006,3.44,0,-0.24
24,2.52176,3.30187,0.351941,3.44,0,-0.24
25,2.84467,3.42045,0.321875,3.44,0,-0.24
26,3.17101,3.52927,0.29181,3.44,0,-0.24
27,3.50046,3.62824,0.261745,3.44,0,-0.24
28,3.83275,3.71725,0.23168,3.44,0,-0.24
29,4.16756,3.79624,0.201615,3.44,0,-0.24
30,4.50459,3.86513,0.171549,3.44,0,0.08
31,4.84354,3.92385,0.181399,3.44,0,0.08
32,5.18189,3.98591,0.191249,3.44,0,0.08
33,5.51962,4.0513,0.201098,3.44,0,0.08
34,5.85669,4.12001,0.210948,3.44,0,0.08
35,6.19306,4.19204,0.220797,3.44,0,0.08
36,6.52871,4.26738,0.230647,3.44,0,0.08
37,6.8636,4.34602,0.240497,3.44,0,0.08
38,7.1977,4.42796,0.250346,3.44,0,0.08
39,7.53098,4.51318,0.260196,3.44,0,0.08
40,7.8634,4.60168,0.270045,3.44,0,0.08
41,8.19493,4.69345,0.279895,3.44,0,0.08
42,8.52555,4.78848,0.289744,3.44,0,0.08
43,8.85521,4.88677,0.299594,3.44,0,0.08
44,9.18388,4.98829,0.309444,3.44,0,0.08
45,9.51155,5.09305,0.319293,3.44,0,0.08
46,9.83816,5.20103,0.329143,3.44,0,0.08
47,10.1637,5.31222,0.338992,3.44,0,0.08
48,10.4881,5.42661,0.348842,3.44,0,0.08
49,10.8114,5.5442,0.358692,3.44,0,0.08
50,11.1335,5.66496,0.368541,3.44,0,0.08
51,11.4544,5.78888,0.378391,3.44,0,0.08
52,11.7741,5.91597,0.38824,3.44,0,0.08
53,12.0925,6.04619,0.39809,3.44,0,0.08
54,12.4096,6.17955,0.40794,3.44,0,0.08
55,12.7253,6.31602,0.417789,3.44,,
