outer_iter,inner_step,augmented_cost
1,0,11515.1
1,1,10530.8
1,2,9941.51
1,3,9608.48
1,4,6348.93
1,5,5754.61
1,6,1585.9
1,7,1373.21
1,8,898.38
1,9,787.018
1,10,614.196
1,11,597.993
1,12,552.666
1,13,544.174
1,14,494.94
1,15,418.898
1,16,396.887
1,17,387.858
1,18,383.902
1,19,375.229
1,20,368.588
1,21,366.225
1,22,364.784
1,23,364.582
1,24,363.825
1,25,363.162
1,26,362.91
1,27,362.602
1,28,362.585
1,29,362.58
1,30,362.564
1,31,362.534
1,32,362.533
1,33,362.533
1,34,362.533
1,35,362.533
2,0,425.58
2,1,421.326
2,2,420.331
2,3,416.801
2,4,415.897
2,5,415.567
2,6,415.416
2,7,415.299
2,8,415.172
2,9,415.083
2,10,414.571
2,11,414.419
2,12,413.776
2,13,411.766
2,14,409.11
2,15,398.451
2,16,397.524
2,17,392.569
2,18,390.568
2,19,389.924
2,20,389.848
2,21,389.243
2,22,389.178
2,23,389.169
2,24,389.16
2,25,389.156
2,26,389.156
2,27,389.154
2,28,389.154
2,29,389.154
2,30,389.154
2,31,389.154
3,0,520.171
3,1,518.355
3,2,512.619
3,3,508.799
3,4,507.801
3,5,506.759
3,6,500.677
3,7,500.332
3,8,470.253
3,9,469.759
3,10,467.458
3,11,464.691
3,12,462.743
3,13,461.149
3,14,460.275
3,15,459.975
3,16,459.975
3,17,459.975
4,0,748.358
4,1,748.244
4,2,746.968
4,3,746.429
4,4,742.283
4,5,736.597
4,6,734.757
4,7,731.765
4,8,721.259
4,9,718.748
4,10,709.398
4,11,709.375
4,12,708.953
4,13,708.379
4,14,708.177
4,15,708.164
4,16,708.112
4,17,708.027
4,18,707.841
4,19,707.818
4,20,707.816
4,21,707.804
4,22,707.803
4,23,707.802
4,24,707.802
4,25,707.802
5,0,1788.69
5,1,1788.69
5,2,1787.64
5,3,1758.69
5,4,1747.48
5,5,1737.37
5,6,1736.54
5,7,1726.27
5,8,1705.46
5,9,1704.85
5,10,1699.43
5,11,1691.19
5,12,1672.54
5,13,1672.53
5,14,1672.51
5,15,1672.48
5,16,1672.45
5,17,1672.42
5,18,1669.06
5,19,1668.36
5,20,1668.31
5,21,1667.93
5,22,1667.91
5,23,1667.7
5,24,1667.64
5,25,1667.37
5,26,1667.13
5,27,1667.11
5,28,1667.09
5,29,1666.83
5,30,1666.63
5,31,1666.55
5,32,1666.51
5,33,1666.5
5,34,1666.33
5,35,1666.33
6,0,6183.63
6,1,6183.61
6,2,6183.15
6,3,6173.52
6,4,6167.31
6,5,6166.88
6,6,6161.52
6,7,6160.86
6,8,6153.47
6,9,6153.42
6,10,6136.05
6,11,6136.05
6,12,6136.05
6,13,6135.82
6,14,6135.77
6,15,6135.48
6,16,6135.48
6,17,6135.48
6,18,6135.48
6,19,6135.48
7,0,28402
7,1,28399.4
7,2,28399.4
7,3,28399.4
8,0,139716
8,1,139716
9,0,696298
9,1,696298
10,0,3.47921e+06
10,1,3.47921e+06
11,0,1.73938e+07
11,1,1.73938e+07
