outer_iteration,inner_iterations,base_cost,augmented_cost,max_violation,best_violation_so_far,max_penalty,penalty_updated
1,0,161.227,9955.65,8.6868,8.6868,20,1
2,0,161.227,68722.2,8.6868,8.6868,100,1
3,0,161.227,362555,8.6868,8.6868,500,1
4,0,161.227,1.83172e+06,8.6868,8.6868,2500,1
5,0,161.227,9.17754e+06,8.6868,8.6868,12500,1
6,0,161.227,4.59066e+07,8.6868,8.6868,62500,1
7,0,161.227,2.29552e+08,8.6868,8.6868,312500,1
8,0,161.227,1.14778e+09,8.6868,8.6868,1.5625e+06,1
9,0,161.227,5.73892e+09,8.6868,8.6868,7.8125e+06,1
10,0,161.227,2.86946e+10,8.6868,8.6868,3.90625e+07,1
